name,rent,id,address,owner_id
Luxury Apartment,1500.0,1,"123 Main Street, Cityville",
Watson-Padilla,4583.66,2002,"888 Alan Brooks Apt. 465
Ashleyshire, VA 39581",
"Bass, Ramirez and Nelson",2850.65,2003,"PSC 9011, Box 0200
APO AE 15311",
"Lewis, King and Owen",2494.76,2004,"90038 Rios Way Suite 055
Jaredside, AL 54979",
Garcia-Brown,3575.86,2005,"275 Mclaughlin Station Apt. 928
South John, GU 31879",
"Roach, Terrell and Davis",3555.67,2006,"44434 Christopher Summit Apt. 041
New Jeffreyfurt, CT 96277",
"Gray, Rodriguez and Maxwell",3184.35,2007,"48378 Richard Ville
Taylorberg, WV 31246",
Robinson Ltd,2964.28,2008,"5566 Mendoza Freeway Suite 571
Petersonview, NE 10725",
Nguyen-Stokes,1880.14,2009,"USS Kline
FPO AP 50207",
Gonzalez-Reilly,1651.24,2010,"6620 Matthew Lodge
New Aaronhaven, MA 25981",
"Morse, Arias and Williams",4249.87,2011,"01278 Kennedy Isle Apt. 049
Lake Jennifer, WV 26845",
"Shannon, Le and Blankenship",3058.1,2012,"079 Sandoval Underpass Suite 550
Higginston, MA 53647",
Cisneros-Davis,4660.94,2013,"0865 Jamie Cliffs Suite 090
Kristenport, GU 05606",
Leach-Rodriguez,4295.83,2014,"9355 Maria Locks Apt. 258
Briantown, PA 93284",
Spencer LLC,4617.95,2015,"026 Patricia Neck
Watsonfurt, ID 93414",
Delgado Group,1639.31,2016,"8301 Andrea Circles
Jonathanberg, VT 55541",
Hill-Snow,1677.49,2017,"26552 Beard Drive
New Stephen, MT 16467",
Harmon PLC,4989.59,2018,"9155 Rhonda Wall
Markside, IN 11524",
Pham Inc,4317.54,2019,"1570 Krystal Cliffs Suite 817
Cooperville, FM 20919",
"Craig, Bradley and Long",942.8,2020,"4790 Torres Drive
Dennisbury, FL 50024",
Smith Group,3031.18,2021,"9709 Melissa Trail Apt. 145
Christopherstad, CA 54986",
Nguyen LLC,1136.09,2022,"79538 Tony Ports Suite 473
Maldonadotown, CA 15977",
"Mendez, Bennett and Burch",1579.19,2023,"9528 Brown Flats
Jamieport, NM 04705",
Roberts PLC,1301.56,2024,"5206 Ruiz Manors Suite 373
New William, WA 35127",
"Smith, Brennan and Sullivan",816.66,2025,"69701 Aaron Well
Ricefurt, WI 42217",
Edwards Group,2057.42,2026,"PSC 4739, Box 3366
APO AE 97882",
"Woods, Jones and Stevenson",2720.36,2027,"676 Keller Meadows
Lake Charlesburgh, CA 76550",
Estrada LLC,2433.48,2028,"4591 Barnett Drives Suite 926
Michaelburgh, IA 54138",
Mendoza-Schmidt,2760.88,2029,"400 Angela Inlet Apt. 678
West Megan, MA 30026",
Vasquez-Murphy,3638.33,2030,"2819 Samantha Common
South Markview, KY 81854",
"Williams, Sullivan and Johnson",2045.08,2031,"1430 Webb Roads
South Cory, HI 87118",
Combs Group,2988.67,2032,"85958 Foster Turnpike
Sullivanfurt, AR 59034",
"Williams, Kramer and Andrews",1300.51,2033,"8830 Frazier Way
Martinezport, TX 00805",
Wright-Shepard,4207.4,2034,"276 Lewis Meadows Apt. 972
West Brooke, TN 26721",
"Porter, Weaver and Gomez",1536.85,2035,"200 Flores Coves Apt. 886
New Kevinport, WY 31717",
"Simpson, Cabrera and Good",3203.36,2036,"67593 Williams Bridge
Lake Bailey, HI 19793",
"Williams, Smith and Alexander",3211.88,2037,"PSC 4454, Box 0512
APO AE 19032",
Taylor and Sons,2141.6,2038,"4386 Smith Rapids Suite 654
Gainesside, PW 44054",
"Rivera, Olson and Harris",3293.75,2039,"595 Shaun Ridge Apt. 517
Johnsonville, FM 06204",
Krause-Sheppard,2233.64,2040,"6260 Brett Gardens Apt. 466
Carlymouth, ME 13082",
Gonzalez Group,2330.21,2041,"PSC 1739, Box 4216
APO AE 67487",
Washington LLC,3758.85,2042,"912 Richard Parkways
Williamsmouth, NE 13268",
"Mays, Young and Morris",1555.35,2043,"6429 Cole Fork Apt. 178
Rhodesmouth, MA 74453",
Edwards and Sons,2057.5,2044,"37855 Sweeney Fall Suite 580
North Brandimouth, SC 16145",
Alexander-Wong,3118.92,2045,"4612 Glen Mission
Port Danielberg, PR 60825",
Garcia-Thomas,1517.93,2046,"984 Lam Fields Apt. 162
Maryfurt, OH 63811",
Mason Group,552.14,2047,"94791 Aguilar Trail
Lake John, DE 42194",
Mora-Phillips,2926.3,2048,"647 Ross Lake Suite 576
South Hectormouth, AL 11630",
"Griffin, Herrera and Lawrence",1427.12,2049,"68872 Cruz Squares
Morenofort, VT 36424",
"Smith, Fisher and Nielsen",2224.05,2050,"609 Campbell Crescent Suite 844
Veronicaport, AR 03917",
"Ramos, Jones and Chambers",2359.08,2051,"874 Jennifer Mountain Apt. 105
Alexanderborough, VA 57679",
Turner-Davies,1556.87,2052,"884 Gina Crest Suite 733
North Christopherville, PW 44954",
Guerrero Group,2700.29,2053,"USCGC Smith
FPO AA 40744",
Ortega Inc,3140.52,2054,"1635 Cunningham Estates Apt. 123
Robertmouth, IN 76105",
Mitchell PLC,2932.23,2055,"38977 Powers Square
Toddmouth, NC 53982",
Wolfe and Sons,2657.37,2056,"282 Megan Rue
Youngburgh, AS 87568",
Williams-Morales,3046.4,2057,"1892 Shelley Grove
West Kimberlyhaven, MI 56350",
"Kramer, Moore and Rollins",4366.93,2058,"581 Leonard Harbor
East William, WA 00705",
Anderson-Gardner,2833.01,2059,"0920 Phillip Rest Suite 287
Mcguireshire, ID 18098",
Small Group,2705.01,2060,"27585 Jeffrey Crest Apt. 036
Lake Alexis, ME 69882",
"Daniels, Hall and Johnson",2629.45,2061,"49350 Hickman Groves
Amandamouth, MN 23704",
Campbell Group,1585.57,2062,"158 Shah Forge Apt. 863
Smithstad, NE 50681",
"Pitts, Berry and Mcdonald",647.22,2063,"4352 Simpson Village
West Josephhaven, VI 33692",
Watson-Wade,4839.94,2064,"61885 Oneal Trail Apt. 389
Bowersside, WI 35183",
"Peterson, Smith and Brown",1014.1,2065,"Unit 3138 Box 3399
DPO AA 51369",
Martin-Carter,854.14,2066,"234 Patrick Isle Suite 908
North Erinborough, NE 56675",
"Williams, Cox and Griffin",937.57,2067,"720 April Field
East Jeremiah, SD 28083",
"Pollard, Webb and Wilson",2775.89,2068,"PSC 5582, Box 0599
APO AA 73905",
"Taylor, Bailey and Hale",2784.52,2069,"525 Judith Views Suite 434
Floresville, WA 85312",
Pennington-Knight,4017.66,2070,"298 Choi Forest Apt. 931
Fryehaven, NJ 91880",
"Wagner, Roberts and Reynolds",4705.06,2071,"570 Alvarez Wall Suite 475
Johnsonstad, WV 96514",
Blanchard-Stone,1330.87,2072,"032 Paul View Suite 235
North Kathryn, MI 65741",
Burns-Miller,2769.22,2073,"PSC 6992, Box 2828
APO AE 42038",
Reed and Sons,1608.35,2074,"769 Jenny Cliff Apt. 705
Davisfort, TN 61535",
Williams Ltd,838.21,2075,"2404 Vasquez Mission
Williamsmouth, KY 87326",
Brown-Nguyen,2737.6,2076,"71930 Hancock Burg Suite 977
Oliviahaven, WV 68875",
"Lyons, Villa and Donaldson",3795.93,2077,"7482 Reyes Unions
Millerland, RI 63225",
Davis-Christian,2290.22,2078,"953 Freeman Pike
West Georgestad, WI 34637",
Haney-Shepherd,1714.37,2079,"856 John Field Apt. 229
Perryland, LA 41728",
"Delgado, Meyers and Wilson",2415.56,2080,"061 Shannon Key Suite 781
Ryanton, NJ 42164",
Cook-Diaz,934.3,2081,"995 Pitts Track Suite 330
Lake Laurie, CO 56158",
"Marsh, Lowe and Collins",540.69,2082,"699 Harrington Throughway Apt. 973
West Jennifer, MI 23974",
Thompson Ltd,4566.6,2083,"USS Thornton
FPO AE 75617",
Morrison Ltd,4683.05,2084,"51463 Fisher Throughway Suite 507
South Jose, IA 66456",
"Harrison, Williams and Porter",2977.14,2085,"710 Lawson Pike
West Williammouth, MA 02389",
"Alexander, Mckay and Ramos",4621.54,2086,"087 Peters Summit Suite 802
South Teresa, SC 22501",
"Alexander, Greene and Vega",1238.6,2087,"4539 Grant Springs Apt. 794
Port Courtneyfurt, OR 65143",
Moses-Bowen,1234.56,2088,"7196 Chelsea Walks Apt. 967
Doughertyhaven, KS 51872",
Ellis-Smith,1366.29,2089,"0670 Ashley Mountains
Gregoryland, LA 82106",
"Frank, Sweeney and Gregory",3437.95,2090,"056 Natasha Wells
Davismouth, PR 96892",
Sanchez-Gibson,1782.04,2091,"1698 Brown Landing Apt. 269
West Katie, ND 99433",
Johnson PLC,2613.96,2092,"5760 Louis Prairie Apt. 552
North Lori, OK 45689",
"Blair, Olson and Compton",3396.82,2093,"02282 Justin Court
Shannonview, NM 97279",
"Chang, Rodriguez and Cooper",3036.06,2094,"625 Lance Row Apt. 656
East Jennifer, FL 19552",
Obrien-Hart,3368.76,2095,"42706 Morgan Creek Apt. 170
Martinezfort, SC 18832",
Williams-Wagner,3219.39,2096,"620 Beth Garden
Ferrelltown, NE 19376",
Oneill-Richardson,2997.29,2097,"9247 Tran Gateway
West Erinstad, NV 58525",
Lowery Ltd,2918.41,2098,"86779 Gomez Coves Apt. 025
East Virginiamouth, MD 33973",
Carpenter PLC,2755.99,2099,"1690 Oconnell Circle Apt. 237
Abigailfurt, MD 82175",
Klein-Taylor,4925.73,2100,"7442 Mary Roads Suite 224
Martinezfort, IA 41310",
Herrera Group,806.24,2101,"388 Tiffany Tunnel
Campbellside, IN 31361",
